email_id,subject,participants,time,time_normalized,location,topic,processed_at
293,RE: Reuniao confirmada,Coordenacao de Mestrado,,,remoto - zoom,Coordenacao de Mestrado,2026-07-24T21:39:45.835865
7660,Atualizacao de processo,Rita Fernandes,,,,exercicios praticos,2026-07-24T21:39:45.976060
2335,Re: Confirmado,Gabinete de Estagios,dia 18 as 9h30,2026-04-18T09:30:00,presencial - biblioteca,acompanhamento pedagogico,2026-07-24T21:39:46.138410
5300,Re: Ponto de situacao,Professora Sofia Carvalho,segunda de manha,2026-06-01T06:00:00/2026-06-01T12:00:00,remoto - zoom,relatorio de progresso,2026-07-24T21:39:46.282417
1886,Fw: Re: Marcacao de reuniao,Ana Martins,terca as 11h,2026-03-31T11:00:00,remoto - zoom,calendario de avaliacoes,2026-07-24T21:39:46.421550
7632,Fw: Agendamento - preparacao da apresentacao,Diretor do Curso,na proxima semana,2026-04-13T00:00:00/2026-04-19T23:59:59,presencial - laboratorio de informatica,preparacao da apresentacao,2026-07-24T21:39:46.580518
5780,Fw: Cancelamento de reuniao,Professor Luis Almeida,,,remoto - zoom,revisao do plano de trabalhos,2026-07-24T21:39:46.750320
3822,RE: Tudo certo para a reuniao,Secretaria Academica,depois de almoco,,remoto - zoom,revisao bibliografica,2026-07-24T21:39:46.957258
8778,Re: Documentacao em falta,Professor Luis Almeida,,,,relatorio de progresso,2026-07-24T21:39:47.097229
7879,Reuniao confirmada,Secretaria Academica,dia 22 as 17h,2026-05-22T17:00:00,presencial - secretaria,horarios do semestre,2026-07-24T21:39:47.242214
4253,Fw: Ponto de situacao,Carolina Silva,ao final do dia,,remoto - teams,planeamento de aulas,2026-07-24T21:39:47.394537
53,RE: Necessidade de remarcar,Secretaria Academica,amanha as 15h,2026-03-24T15:00:00,remoto - zoom,avaliacao continua,2026-07-24T21:39:47.552060
1594,Reuniao sobre horarios do semestre,Professora Sofia Carvalho,depois de almoco,,remoto - zoom,horarios do semestre,2026-07-24T21:39:47.710995
8446,RE: Indisponibilidade para a reuniao,Conselho Pedagogico,,,remoto - zoom,revisao bibliografica,2026-07-24T21:39:47.885002
5697,Fw: Imprevisto - analise dos resultados dos estudantes,Diretor do Curso,ao final do dia,,remoto - zoom,analise dos resultados dos estudantes,2026-07-24T21:39:48.055559
4588,RE: Disponibilidade para reuniao,Ana Martins,terca as 11h,2026-02-03T11:00:00,remoto - zoom,preparacao da defesa,2026-07-24T21:39:48.233091
4304,Reuniao confirmada,Professora Ana Costa,dia 18 as 9h30,2026-05-18T09:30:00,remoto - zoom,processo de estagio,2026-07-24T21:39:48.391141
9465,Fw: Confirmacao - revisao bibliografica,Carolina Silva,,,presencial - secretaria,revisao bibliografica,2026-07-24T21:39:48.559833
8284,Indisponibilidade para a reuniao,Professora Ana Costa,dia 18 as 9h30,2026-03-18T09:30:00,presencial - laboratorio de informatica,Professora Ana Costa,2026-07-24T21:39:48.728081
7519,Re: Disponibilidade para reuniao,Miguel Santos,amanha as 15h,2026-02-27T15:00:00,presencial - gabinete 3.12,submissao de artigo,2026-07-24T21:39:48.897557
6341,Entrega de relatorio,Professora Sofia Carvalho,,,,Professora Sofia Carvalho,2026-07-24T21:39:49.064178
2182,Fw: Aviso aos estudantes,Professora Ana Costa,,,,Fw: Aviso aos estudantes,2026-07-24T21:39:49.229007
4959,Fw: Re: Marcacao de reuniao,Ana Martins,,,presencial - sala de reunioes do departamento,Ana Martins,2026-07-24T21:39:49.423887
284,RE: Reuniao sem efeito,Secretaria Academica,,,presencial - biblioteca,proposta de projeto,2026-07-24T21:39:49.657582
9526,Fw: Necessidade de remarcar,Secretaria Academica,depois da aula,,presencial - gabinete de orientacao,submissao de artigo,2026-07-24T21:39:49.880877
5395,Remarcacao de reuniao,Coordenacao de Mestrado,quarta a tarde,2026-04-29T12:00:00/2026-04-29T18:00:00,presencial - auditorio principal,avaliacao continua,2026-07-24T21:39:50.099763
9772,Indisponibilidade para a reuniao,Prof. Ricardo Mendes,quarta a tarde,2026-06-03T12:00:00/2026-06-03T18:00:00,remoto - zoom,Prof. Ricardo Mendes,2026-07-24T21:39:50.275109
4066,Fw: Disponibilidade para reuniao,Gabinete de Estagios,segunda de manha,2026-03-02T06:00:00/2026-03-02T12:00:00,presencial - sala B104,submissao de artigo,2026-07-24T21:39:50.445186
7968,Confirmado,Gabinete de Estagios,dia 18 as 9h30,2026-04-18T09:30:00,remoto - zoom,calendario de avaliacoes,2026-07-24T21:39:50.616897
4679,Confirmacao - revisao do plano de trabalhos,Professor Luis Almeida,,,presencial - gabinete da direcao,revisao do plano de trabalhos,2026-07-24T21:39:50.787318
1691,Informacao academica,Conselho Pedagogico,,,,sistema academico,2026-07-24T21:39:50.972708
9500,Re: Cancelamento de reuniao,Professora Ana Costa,depois de almoco,,remoto - zoom,Re: Cancelamento de reuniao,2026-07-24T21:39:51.158330
2763,Necessidade de remarcar,Rita Fernandes,depois de almoco,,remoto - zoom,acompanhamento pedagogico,2026-07-24T21:39:51.352679
9117,Pedido de esclarecimento,Rita Fernandes,,,,apreciacao do conselho cientifico,2026-07-24T21:39:51.515691
4773,RE: Confirmado,Professor Luis Almeida,dia 18 as 9h30,2026-06-18T09:30:00,remoto - zoom,distribuicao de servico docente,2026-07-24T21:39:51.748453
695,Re: Marcacao de reuniao,Ana Martins,,,presencial - sala 2.3,processo de estagio,2026-07-24T21:39:51.927554
9679,Fw: Entrega de relatorio,Secretaria Academica,,,,Fw: Entrega de relatorio,2026-07-24T21:39:52.114211
5722,RE: Reuniao sem efeito,Carolina Silva,ao final do dia,,presencial - sala de reunioes do departamento,RE: Reuniao sem efeito,2026-07-24T21:39:52.319388
8974,Re: Agendamento - analise dos resultados dos estudantes,Coordenacao de Mestrado,ao final do dia,,remoto - zoom,analise dos resultados dos estudantes,2026-07-24T21:39:52.613540
7909,RE: Indisponibilidade para a reuniao,Secretaria Academica,,,presencial - laboratorio de informatica,acompanhamento pedagogico,2026-07-24T21:39:52.784295
2634,Re: Marcacao de reuniao,Gabinete de Estagios,na proxima semana,2026-04-27T00:00:00/2026-05-03T23:59:59,remoto - zoom,acompanhamento pedagogico,2026-07-24T21:39:53.029352
4596,Remarcacao de reuniao,Ana Martins,segunda de manha,2026-02-09T06:00:00/2026-02-09T12:00:00,presencial - gabinete da direcao,calendario de avaliacoes,2026-07-24T21:39:53.206537
5645,Remarcacao de reuniao,Professora Sofia Carvalho,durante a manha,2026-04-05T06:00:00/2026-04-05T12:00:00,remoto - zoom,distribuicao de servico docente,2026-07-24T21:39:53.392469
632,Fw: Pedido de reuniao,Conselho Pedagogico,,,presencial - sala 2.3,revisao do plano de trabalhos,2026-07-24T21:39:53.671343
9731,Re: Documentacao em falta,Gabinete de Estagios,,,,exercicios praticos,2026-07-24T21:39:53.849774
6255,Fw: Informacao academica,Secretaria Academica,,,,Secretaria Academica,2026-07-24T21:39:54.043827
5912,Re: Entrega de relatorio,Professora Ana Costa,,,,exercicios praticos,2026-07-24T21:39:54.210128
5489,Fw: Remarcacao de reuniao,Diretor do Curso,antes do seminario,,remoto - zoom,preparacao da defesa,2026-07-24T21:39:54.434489
5054,RE: Imprevisto - coordenacao da unidade curricular,Professora Sofia Carvalho,,,remoto - zoom,coordenacao da unidade curricular,2026-07-24T21:39:54.623983
4993,Fw: Marcacao de reuniao,Miguel Santos,dia 18 as 9h30,2026-04-18T09:30:00,presencial - gabinete da direcao,horarios do semestre,2026-07-24T21:39:54.816437
4976,RE: Disponibilidade para reuniao,Professora Sofia Carvalho,amanha as 10h,2026-03-31T10:00:00,presencial - gabinete 3.12,horarios do semestre,2026-07-24T21:39:54.987050
6391,Fw: Imprevisto - pedido de equivalencias,Diretor do Curso,,,presencial - gabinete de orientacao,pedido de equivalencias,2026-07-24T21:39:55.159435
8805,RE: Indisponibilidade para a reuniao,Professor Luis Almeida,amanha as 15h,2026-02-06T15:00:00,remoto - zoom,Professor Luis Almeida,2026-07-24T21:39:55.323062
8459,Re: Confirmado,Diretor do Curso,,,presencial - biblioteca,Diretor do Curso,2026-07-24T21:39:55.465177
7450,Fw: Imprevisto - preparacao da defesa,Ana Martins,,,remoto - zoom,preparacao da defesa,2026-07-24T21:39:55.636450
8990,Fw: Imprevisto - orientacao da dissertacao,Professora Sofia Carvalho,sexta as 14h30,2026-04-03T14:30:00,remoto - zoom,orientacao da dissertacao,2026-07-24T21:39:55.805505
2979,Fw: Confirmacao - revisao do plano de trabalhos,Rita Fernandes,,,presencial - auditorio principal,revisao do plano de trabalhos,2026-07-24T21:39:55.960095
3089,RE: Confirmacao - acompanhamento pedagogico,Secretaria Academica,sexta as 14h30,2026-02-27T14:30:00,presencial - gabinete 3.12,acompanhamento pedagogico,2026-07-24T21:39:56.141336
9737,RE: Reuniao sobre avaliacao continua,Miguel Santos,quinta as 16h,2026-04-30T16:00:00,remoto - zoom,avaliacao continua,2026-07-24T21:39:56.286120
5037,Imprevisto - revisao bibliografica,Professora Sofia Carvalho,,,remoto - zoom,revisao bibliografica,2026-07-24T21:39:56.447990
9639,RE: Re: Marcacao de reuniao,Secretaria Academica,quarta a tarde,2026-04-15T12:00:00/2026-04-15T18:00:00,presencial - sala 2.3,avaliacao continua,2026-07-24T21:39:56.609574
859,RE: Tudo certo para a reuniao,Professora Sofia Carvalho,,,presencial - sala B104,revisao bibliografica,2026-07-24T21:39:56.786334
9163,Fw: Remarcacao de reuniao,Secretaria Academica,quarta a tarde,2026-05-06T12:00:00/2026-05-06T18:00:00,presencial - gabinete da direcao,processo de estagio,2026-07-24T21:39:56.945978
2642,Fw: Confirmado,Professor Luis Almeida,amanha as 15h,2026-02-18T15:00:00,presencial - auditorio principal,revisao bibliografica,2026-07-24T21:39:57.111862
6741,RE: Atualizacao de processo,Professora Sofia Carvalho,,,,RE: Atualizacao de processo,2026-07-24T21:39:57.261527
9027,Re: Cancelamento de reuniao,Secretaria Academica,,,remoto - teams,Re: Cancelamento de reuniao,2026-07-24T21:39:57.466217
6450,Re: Re: Marcacao de reuniao,Mariana Lopes,,,remoto - zoom,Mariana Lopes,2026-07-24T21:39:57.635513
8624,RE: Tudo certo para a reuniao,Professor Luis Almeida,,,remoto - zoom,Professor Luis Almeida,2026-07-24T21:39:57.790589
5561,Re: Tudo certo para a reuniao,Professora Ana Costa,,,presencial - auditorio principal,coordenacao da unidade curricular,2026-07-24T21:39:57.960164
428,Re: Re: Marcacao de reuniao,Carolina Silva,,,presencial - gabinete de orientacao,Carolina Silva,2026-07-24T21:39:58.125963
2090,Re: Reuniao sobre revisao bibliografica,Prof. Ricardo Mendes,,,remoto - zoom,revisao bibliografica,2026-07-24T21:39:58.289245
2883,Re: Disponibilidade para reuniao,Professora Ana Costa,depois da aula,,presencial - gabinete de orientacao,validacao de atas,2026-07-24T21:39:58.452327
8922,Fw: Reuniao confirmada,Professora Ana Costa,antes do seminario,,remoto - zoom,horarios do semestre,2026-07-24T21:39:58.652054
521,Indisponibilidade para a reuniao,Rita Fernandes,quinta as 16h,2026-04-23T16:00:00,remoto - zoom,Rita Fernandes,2026-07-24T21:39:58.839716
8567,Fw: Reuniao sem efeito,Prof. Ricardo Mendes,dia 22 as 17h,2026-05-22T17:00:00,remoto - zoom,preparacao da apresentacao,2026-07-24T21:39:59.069406
757,Re: Reuniao confirmada,Rita Fernandes,dia 22 as 17h,2026-03-22T17:00:00,remoto - zoom,coordenacao da unidade curricular,2026-07-24T21:39:59.287667
8692,RE: Reuniao sem efeito,Secretaria Academica,,,remoto - zoom,credibilidade dos dados recolhidos,2026-07-24T21:39:59.495702
8062,Re: Reuniao sobre revisao bibliografica,Secretaria Academica,durante a manha,2026-03-21T06:00:00/2026-03-21T12:00:00,presencial - laboratorio de informatica,revisao bibliografica,2026-07-24T21:39:59.684479
5207,Fw: Cancelamento de reuniao,Diretor do Curso,,,presencial - gabinete de orientacao,Diretor do Curso,2026-07-24T21:39:59.867331
3347,Re: Ponto de situacao,Ana Martins,quinta as 16h,2026-02-12T16:00:00,presencial - sala B104,analise dos resultados dos estudantes,2026-07-24T21:40:00.041664
9285,Pedido de reuniao,Miguel Santos,durante a manha,2026-05-01T06:00:00/2026-05-01T12:00:00,remoto - zoom,preparacao da apresentacao,2026-07-24T21:40:00.210080
8042,Reuniao confirmada,Prof. Ricardo Mendes,,,remoto - zoom,Prof. Ricardo Mendes,2026-07-24T21:40:00.366256
1464,Fw: Reuniao sem efeito,Secretaria Academica,,,presencial - auditorio principal,Secretaria Academica,2026-07-24T21:40:00.533793
2898,Re: Marcacao de reuniao,Professora Sofia Carvalho,na proxima semana,2026-06-01T00:00:00/2026-06-07T23:59:59,remoto - teams,analise dos resultados dos estudantes,2026-07-24T21:40:00.687871
8121,RE: Atualizacao de processo,Prof. Ricardo Mendes,,,,pedido de equivalencias,2026-07-24T21:40:00.846176
8341,Cancelamento de reuniao,Diretor do Curso,,,remoto - google meet,relatorio de progresso,2026-07-24T21:40:01.010319
3813,Fw: Reuniao confirmada,Professor Luis Almeida,,,presencial - sala de reunioes do departamento,Professor Luis Almeida,2026-07-24T21:40:01.167066
1188,Imprevisto - proposta de projeto,Diretor do Curso,,,presencial - biblioteca,proposta de projeto,2026-07-24T21:40:01.346836
4008,Re: Indisponibilidade para a reuniao,Secretaria Academica,,,presencial - biblioteca,Re: Indisponibilidade para a reuniao,2026-07-24T21:40:01.538304
5924,Re: Atualizacao de processo,Conselho Pedagogico,,,,Conselho Pedagogico,2026-07-24T21:40:01.708869
8547,Cancelamento de reuniao,Professora Ana Costa,,,remoto - zoom,Cancelamento de reuniao,2026-07-24T21:40:01.884593
6802,Fw: Confirmacao - proposta de projeto,Professora Sofia Carvalho,,,presencial - sala 2.3,proposta de projeto,2026-07-24T21:40:02.046841
5684,Imprevisto - preparacao da apresentacao,Carolina Silva,terca as 11h,2026-03-17T11:00:00,remoto - zoom,preparacao da apresentacao,2026-07-24T21:40:02.206814
5629,Remarcacao de reuniao,Ana Martins,amanha as 10h,2026-05-15T10:00:00,presencial - gabinete 3.12,distribuicao de servico docente,2026-07-24T21:40:02.382657
2221,Re: Cancelamento de reuniao,Secretaria Academica,,,presencial - secretaria,analise dos resultados dos estudantes,2026-07-24T21:40:02.552316
9735,Re: Agendamento - relatorio de progresso,Secretaria Academica,depois de almoco,,presencial - sala de reunioes do departamento,relatorio de progresso,2026-07-24T21:40:02.752289
5955,Confirmado,Professora Ana Costa,dia 22 as 17h,2026-04-22T17:00:00,presencial - sala de reunioes do departamento,analise dos resultados dos estudantes,2026-07-24T21:40:02.906359
5141,Envio de documentos,Professor Luis Almeida,,,,Envio de documentos,2026-07-24T21:40:03.053760
6548,Re: Reuniao sobre validacao de atas,Professora Sofia Carvalho,ao final do dia,,remoto - google meet,validacao de atas,2026-07-24T21:40:03.230825
946,RE: Re: Marcacao de reuniao,Professora Ana Costa,,,presencial - laboratorio de informatica,revisao bibliografica,2026-07-24T21:40:03.402024
3425,RE: Aviso aos estudantes,Professora Sofia Carvalho,,,,Professora Sofia Carvalho,2026-07-24T21:40:03.569043
6705,Re: Reuniao confirmada,Ana Martins,depois da aula,,presencial - gabinete da direcao,credibilidade dos dados recolhidos,2026-07-24T21:40:03.741498
6472,Re: Cancelamento de reuniao,Prof. Ricardo Mendes,quinta as 16h,2026-05-28T16:00:00,remoto - zoom,Prof. Ricardo Mendes,2026-07-24T21:40:03.902300
4595,RE: Reuniao sem efeito,Professor Luis Almeida,amanha as 15h,2026-03-10T15:00:00,presencial - sala 2.3,Professor Luis Almeida,2026-07-24T21:40:04.066234
8929,Tudo certo para a reuniao,Rita Fernandes,,,remoto - zoom,Rita Fernandes,2026-07-24T21:40:04.259062
9722,Re: Marcacao de reuniao,Conselho Pedagogico,quinta as 16h,2026-05-21T16:00:00,presencial - secretaria,orientacao da dissertacao,2026-07-24T21:40:04.477640
6907,RE: Remarcacao de reuniao,Prof. Ricardo Mendes,quarta a tarde,2026-05-20T12:00:00/2026-05-20T18:00:00,remoto - zoom,credibilidade dos dados recolhidos,2026-07-24T21:40:04.700209
7311,Reuniao sobre distribuicao de servico docente,Gabinete de Estagios,dia 22 as 17h,2026-05-22T17:00:00,remoto - zoom,distribuicao de servico docente,2026-07-24T21:40:04.902213
9160,Re: Pedido de esclarecimento,Conselho Pedagogico,,,,exercicios praticos,2026-07-24T21:40:05.071485
5487,RE: Reuniao sem efeito,Professora Sofia Carvalho,,,remoto - zoom,preparacao da apresentacao,2026-07-24T21:40:05.264146
222,Re: Imprevisto - submissao de artigo,Professora Sofia Carvalho,terca as 11h,2026-05-12T11:00:00,remoto - zoom,submissao de artigo,2026-07-24T21:40:05.497893
4029,Fw: Confirmado,Secretaria Academica,,,remoto - zoom,Secretaria Academica,2026-07-24T21:40:05.679323
9802,Fw: Ponto de situacao,Rita Fernandes,amanha as 15h,2026-03-01T15:00:00,presencial - sala B104,avaliacao continua,2026-07-24T21:40:05.873686
5632,Re: Cancelamento de reuniao,Conselho Pedagogico,,,presencial - biblioteca,Conselho Pedagogico,2026-07-24T21:40:06.046428
3141,Fw: Agendamento - orientacao da dissertacao,Secretaria Academica,segunda de manha,2026-03-09T06:00:00/2026-03-09T12:00:00,presencial - sala 2.3,orientacao da dissertacao,2026-07-24T21:40:06.225513
4540,Fw: Cancelamento de reuniao,Professora Sofia Carvalho,,,presencial - laboratorio de informatica,relatorio de progresso,2026-07-24T21:40:06.392344
9557,RE: Remarcacao de reuniao,Secretaria Academica,na proxima semana,2026-05-04T00:00:00/2026-05-10T23:59:59,remoto - zoom,orientacao da dissertacao,2026-07-24T21:40:06.558448
1434,Fw: Entrega de relatorio,Secretaria Academica,,,,Secretaria Academica,2026-07-24T21:40:06.711695
2386,Reuniao sem efeito,Professora Ana Costa,,,remoto - zoom,credibilidade dos dados recolhidos,2026-07-24T21:40:06.899141
537,Fw: Reuniao sobre calendario de avaliacoes,Diretor do Curso,,,presencial - gabinete da direcao,calendario de avaliacoes,2026-07-24T21:40:07.094883
5553,Re: Pedido de esclarecimento,Professora Sofia Carvalho,,,,preparacao da apresentacao,2026-07-24T21:40:07.255245
6869,Fw: Cancelamento de reuniao,Prof. Ricardo Mendes,,,presencial - laboratorio de informatica,Fw: Cancelamento de reuniao,2026-07-24T21:40:07.558858
6852,Fw: Disponibilidade para reuniao,Coordenacao de Mestrado,depois da aula,,remoto - google meet,preparacao da defesa,2026-07-24T21:40:07.829882
9044,Fw: Imprevisto - proposta de projeto,Ana Martins,,,remoto - zoom,proposta de projeto,2026-07-24T21:40:08.015011
6644,RE: Imprevisto - analise dos resultados dos estudantes,Prof. Ricardo Mendes,depois de almoco,,remoto - teams,analise dos resultados dos estudantes,2026-07-24T21:40:08.186876
5701,RE: Re: Marcacao de reuniao,Professor Luis Almeida,,,presencial - sala B104,Professor Luis Almeida,2026-07-24T21:40:08.361624
8485,Re: Disponibilidade para reuniao,Prof. Ricardo Mendes,terca as 11h,2026-06-02T11:00:00,remoto - zoom,avaliacao continua,2026-07-24T21:40:08.580287
6669,Confirmacao - orientacao da dissertacao,Prof. Ricardo Mendes,dia 22 as 17h,2026-05-22T17:00:00,remoto - zoom,orientacao da dissertacao,2026-07-24T21:40:08.750114
1367,Fw: Pedido de esclarecimento,Mariana Lopes,,,,submissao dos elementos de avaliacao,2026-07-24T21:40:08.942142
6421,RE: Reuniao sobre preparacao da defesa,Gabinete de Estagios,ao final do dia,,presencial - laboratorio de informatica,preparacao da defesa,2026-07-24T21:40:09.135806
2480,Fw: Confirmacao - revisao do plano de trabalhos,Joao Pereira,,,remoto - zoom,revisao do plano de trabalhos,2026-07-24T21:40:09.291915
9082,Fw: Indisponibilidade para a reuniao,Prof. Ricardo Mendes,,,remoto - zoom,preparacao da apresentacao,2026-07-24T21:40:09.550161
3127,Imprevisto - pedido de equivalencias,Prof. Ricardo Mendes,,,remoto - zoom,pedido de equivalencias,2026-07-24T21:40:09.732575
9019,Re: Reuniao sobre validacao de atas,Coordenacao de Mestrado,amanha as 10h,2026-02-22T10:00:00,remoto - zoom,validacao de atas,2026-07-24T21:40:10.002216
8882,Fw: Reuniao confirmada,Conselho Pedagogico,3.12,2026-04-05T03:12:00,presencial - gabinete 3.12,Conselho Pedagogico,2026-07-24T21:40:10.188016
8552,Fw: Entrega de relatorio,Prof. Ricardo Mendes,,,,Prof. Ricardo Mendes,2026-07-24T21:40:10.350915
1433,Fw: Re: Marcacao de reuniao,Diretor do Curso,,,presencial - biblioteca,Diretor do Curso,2026-07-24T21:40:10.503619
7923,Fw: Cancelamento de reuniao,Rita Fernandes,dia 18 as 9h30,2026-05-18T09:30:00,remoto - teams,credibilidade dos dados recolhidos,2026-07-24T21:40:10.672917
2457,RE: Confirmado,Professora Ana Costa,,,remoto - zoom,Professora Ana Costa,2026-07-24T21:40:10.846732
529,RE: Imprevisto - calendario de avaliacoes,Rita Fernandes,depois da aula,,presencial - gabinete de orientacao,calendario de avaliacoes,2026-07-24T21:40:11.020046
3674,Fw: Indisponibilidade para a reuniao,Secretaria Academica,,,remoto - zoom,acompanhamento pedagogico,2026-07-24T21:40:11.186473
9095,Fw: Re: Marcacao de reuniao,Professora Sofia Carvalho,segunda de manha,2026-02-16T06:00:00/2026-02-16T12:00:00,remoto - google meet,analise dos resultados dos estudantes,2026-07-24T21:40:11.366027
9138,RE: Informacao academica,Secretaria Academica,,,,submissao dos elementos de avaliacao,2026-07-24T21:40:11.534916
1882,Pedido de reuniao,Prof. Ricardo Mendes,na proxima semana,2026-02-23T00:00:00/2026-03-01T23:59:59,remoto - teams,processo de estagio,2026-07-24T21:40:11.736592
9257,RE: Remarcacao de reuniao,Professor Luis Almeida,antes do seminario,,presencial - gabinete da direcao,submissao de artigo,2026-07-24T21:40:11.920029
6558,RE: Reuniao sem efeito,Professora Sofia Carvalho,,,remoto - zoom,Professora Sofia Carvalho,2026-07-24T21:40:12.070457
3154,RE: Confirmado,Mariana Lopes,,,remoto - zoom,Mariana Lopes,2026-07-24T21:40:12.202415
4409,Pedido de esclarecimento,Secretaria Academica,,,,Secretaria Academica,2026-07-24T21:40:12.354365
9255,Fw: Indisponibilidade para a reuniao,Secretaria Academica,,,remoto - zoom,Secretaria Academica,2026-07-24T21:40:12.516910
9432,Fw: Reuniao sem efeito,Professora Ana Costa,,,remoto - zoom,Professora Ana Costa,2026-07-24T21:40:12.671112
2661,Confirmado,Professora Ana Costa,durante a manha,2026-02-05T06:00:00/2026-02-05T12:00:00,presencial - auditorio principal,validacao de atas,2026-07-24T21:40:12.842843
1978,Reuniao confirmada,Professora Ana Costa,amanha as 10h,2026-05-25T10:00:00,remoto - teams,credibilidade dos dados recolhidos,2026-07-24T21:40:13.000309
